Search Name,Total_Nights,Avg_Nights,Transactions,Total_Revenue,Avg_Revenue,Avg_Rate
Totals,11874,11874.0,1,3846423.6,3846423.6,323.94
TBO HOLIDAYS,758,58.31,13,296392.43,22799.42,391.02
DARINA HOLIDAYS,932,77.67,12,295965.14,24663.76,317.56
WEBBEDS,716,35.8,20,242334.28,12116.71,338.46
MIRACLE TOURISM LLC,615,61.5,10,210795.85,21079.58,342.76
VOYAGE TOURS,591,45.46,13,200407.43,15415.96,339.1
DUBAI LINK TOURS L.L.C.,590,53.64,11,199382.6,18125.69,337.94
FUN AND SUN TOURISM LLC,712,64.73,11,190069.98,17279.09,266.95
TRAVELTINO,510,26.84,19,162422.74,8548.57,318.48
HOTELBEDS DMCC,363,40.33,9,162234.96,18026.11,446.93
ELEVATE TOURISM L.L.C.,483,37.15,13,160553.33,12350.26,332.41
AL KHALIDIAH TOURISM,500,55.56,9,149227.15,16580.79,298.45
TRAVCO LLP UK,500,50.0,10,141095.44,14109.54,282.19
MIKI TRAVEL LIMITED,505,63.12,8,136956.42,17119.55,271.2
HOLIDAY MOMENTS,358,35.8,10,117764.45,11776.44,328.95
ALMOSAFER INTERNATIONAL TRAVEL AND TOURI,300,33.33,9,99766.62,11085.18,332.56
SECRET ESCAPES,287,57.4,5,96857.53,19371.51,337.48
DESERT GATE TOURISM,398,24.88,16,93325.1,5832.82,234.49
REZLIVE.COM,261,52.2,5,83707.47,16741.49,320.72
ASSOS TOURISM LLC BY ADONIS.COM,316,79.0,4,66440.44,16610.11,210.25
CR7 WONDERS TOURISM L.LC,136,34.0,4,55032.67,13758.17,404.65
ROCKET DESTINATION TOURISM L.LC,162,27.0,6,46459.66,7743.28,286.79
ARABIAN ORYX TRAVEL & TOURISM L.L.C.,144,20.57,7,40031.6,5718.8,278.0
MAHFOUZ TOURISM LLC BY EET GLOBAL,101,20.2,5,38123.65,7624.73,377.46
FALCON EYES TRAVEL & TOURISM,78,39.0,2,36157.69,18078.84,463.56
RUSTAR TOURISM,80,13.33,6,34983.69,5830.62,437.3
DAKKAK TOURS INTERNATIONAL,101,25.25,4,33862.21,8465.55,335.27
ISTYATUR - ISTYA TOURISM LLC,34,34.0,1,31428.72,31428.72,924.37
DESERT ADVENTURES TOURISM L.L.C.,88,12.57,7,29088.53,4155.5,330.55
ANEX TOURISM WORLDWIDE DMCC,97,32.33,3,21844.97,7281.66,225.21
RIDA INTERNATIONAL TOURISM,78,26.0,3,20676.22,6892.07,265.08
NIRVANA OVER THE WORLD (N.O.W.) L.L.C.,65,10.83,6,20379.19,3396.53,313.53
TRAVEL DESTINATION SOLUTIONS,40,10.0,4,20257.86,5064.46,506.45
WHITE SANDS TOURS & TRAVEL,49,8.17,6,19679.39,3279.9,401.62
EASY GO TOURISM L.L.C,36,36.0,1,18812.65,18812.65,522.57
JOYCE TOURS,78,26.0,3,18109.05,6036.35,232.17
DURI TRAVEL,54,27.0,2,17111.63,8555.82,316.88
SATGURU TRAVEL AND TOURISM (L.L.C.) (TOP,43,10.75,4,15964.02,3991.0,371.26
ORIENTAL ROUTES TOURISM,87,29.0,3,15616.92,5205.64,179.5
KURBAN TOURS/ DMC ARABIA TOURISM LLC,60,15.0,4,15553.57,3888.39,259.23
EASE MY TRIP,57,57.0,1,13655.72,13655.72,239.57
KALANIT TOURS DUBAI,47,47.0,1,13268.62,13268.62,282.31
COSTA TRAVEL & TOURISM,20,20.0,1,13211.2,13211.2,660.56
TOURISM 365,14,2.0,7,12453.03,1779.0,889.5
DESERT HARBOUR TOURISM,21,10.5,2,10147.14,5073.57,483.2
TRAVEL ON ME TOURISM LLC,15,15.0,1,8479.06,8479.06,565.27
FLASH HORIZON TRAVEL,6,3.0,2,7724.7,3862.35,1287.45
BTB TOURISM LLC,16,16.0,1,7327.48,7327.48,457.97
SKYMAX HOLIDAYS C/O THOMAS COOK AG,30,7.5,4,6530.63,1632.66,217.69
DAR AL HANA TOURISM L.L.C,44,44.0,1,6448.12,6448.12,146.55
ROYAL LINE HOLIDAYS,8,8.0,1,6249.92,6249.92,781.24
GUARANTEE TRAVEL DMCC,27,6.75,4,6190.98,1547.74,229.3
HIGH WAY TRAVEL & TOURISM LLC,24,8.0,3,6187.34,2062.45,257.81
AZZI TRAVEL AND TOURISM,10,10.0,1,6021.95,6021.95,602.19
SEVEN SKY PREMIUM,14,7.0,2,4889.79,2444.9,349.27
BABLYON TOURISM,14,14.0,1,4602.24,4602.24,328.73
ALLURE TOURISM BY MAGIC ARABIA,16,8.0,2,4561.07,2280.54,285.07
CLARITY TRAVEL MANAGEMENT,5,5.0,1,4464.65,4464.65,892.93
WICE MICE TOURISM L.L.C,6,6.0,1,4202.58,4202.58,700.43
SABCO TOP TOURISM,12,12.0,1,3982.68,3982.68,331.89
LEEYONGJIN GUARANTEE TOURISM L.L.C.,5,5.0,1,3973.53,3973.53,794.71
NOAHâ€™S ARK TOURISM L.L.C,24,24.0,1,3260.07,3260.07,135.84
ATA TRAVEL,5,5.0,1,3187.81,3187.81,637.56
MICE LEVOYAGE TRAVEL & TOURISM LLC,7,7.0,1,2702.84,2702.84,386.12
ARABIAN JOURNEYS DMC,5,5.0,1,2388.7,2388.7,477.74
NEON REISEN GMBH,6,6.0,1,2200.15,2200.15,366.69
HOLIDAYS TOURS LLC,6,6.0,1,2182.14,2182.14,363.69
DTS TOURISM DUBAI,14,14.0,1,2137.52,2137.52,152.68
ADONIS TOURISM L.L.C.,12,12.0,1,1939.72,1939.72,161.64
AL TAYER TRAVEL AGENCY,12,12.0,1,1508.88,1508.88,125.74
EMESSA TRAVEL AND TOURISM,3,3.0,1,1427.13,1427.13,475.71
GULF CIRCLE TOURS,5,5.0,1,1414.45,1414.45,282.89
FF TOURS & TRAVEL,9,9.0,1,1387.48,1387.48,154.16
TRIPATHON,6,3.0,2,1378.48,689.24,229.75
RAYNA TOURISM L.L.C.,6,3.0,2,1207.88,603.94,201.31
SUNNY OASIS,3,3.0,1,1131.45,1131.45,377.15
MYGO TURIZM,7,7.0,1,1032.71,1032.71,147.53
TRAVCO LLC DUBAI,4,4.0,1,792.08,792.08,198.02
AMR TRAVEL & TOURISM,2,2.0,1,718.44,718.44,359.22
MERCATOR TRAVEL & TOURISM,4,4.0,1,700.52,700.52,175.13
DREAM TRAVEL GULF L.L.C,4,4.0,1,673.51,673.51,168.38
GOLDEN WAY TOURISM,2,1.0,2,597.16,298.58,298.58
SFT TRAVEL AND TOURISM,3,3.0,1,525.33,525.33,175.11
CTRIP INTL TRAVEL SVCS,3,3.0,1,471.48,471.48,157.16
SPLENDID TRAVEL & TOURISM L.LC.,3,3.0,1,458.01,458.01,152.67
TRIPDO TRAVEL,1,1.0,1,148.18,148.18,148.18
